room,day,time,occupied
A-10,Su,12:00,false
A-10,Mo,12:20,true
A-10,Tu,12:20,true
A-10,We,12:20,true
A-10,Th,12:20,true
A-10,Fr,12:20,false
A-10,Sa,12:20,false
A-10,Su,12:20,false
A-10,Mo,12:40,true
A-10,Tu,12:40,true
A-10,We,12:40,false
A-10,Th,12:40,true
A-10,Fr,12:40,false
A-10,Sa,12:40,false
A-10,Su,12:40,false
A-10,Mo,13:00,false
A-10,Tu,13:00,true
A-10,We,13:00,true
A-10,Th,13:00,true
A-10,Fr,13:00,false
A-10,Sa,13:00,false
A-10,Su,13:00,false
A-10,Mo,13:20,false
A-10,Tu,13:20,true
A-10,We,13:20,true
A-10,Th,13:20,true
A-10,Fr,13:20,false
A-10,Sa,13:20,false
A-10,Su,13:20,false
A-10,Mo,13:40,false
A-10,Tu,13:40,true
A-10,We,13:40,true
A-10,Th,13:40,true
A-10,Fr,13:40,false
A-10,Sa,13:40,false
A-10,Su,13:40,false
A-10,Mo,14:00,false
A-10,Tu,14:00,false
A-10,We,14:00,false
A-10,Th,14:00,false
A-10,Fr,14:00,false
A-10,Sa,14:00,false
A-10,Su,14:00,false
A-10,Mo,14:20,false
A-10,Tu,14:20,false
A-10,We,14:20,false
A-10,Th,14:20,false
A-10,Fr,14:20,false
A-10,Sa,14:20,false
A-10,Su,14:20,false
A-10,Mo,14:40,false
A-10,Tu,14:40,false
A-10,We,14:40,false
A-10,Th,14:40,false
A-10,Fr,14:40,false
A-10,Sa,14:40,false
A-10,Su,14:40,false
A-10,Mo,15:00,false
A-10,Tu,15:00,false
A-10,We,15:00,false
A-10,Th,15:00,false
A-10,Fr,15:00,false
A-10,Sa,15:00,false
A-10,Su,15:00,false
A-10,Mo,15:20,false
A-10,Tu,15:20,false
A-10,We,15:20,false
A-10,Th,15:20,false
A-10,Fr,15:20,false
A-10,Sa,15:20,false
A-10,Su,15:20,false
A-10,Mo,15:40,false
A-10,Tu,15:40,false
A-10,We,15:40,false
A-10,Th,15:40,false
A-10,Fr,15:40,false
A-10,Sa,15:40,false
A-10,Su,15:40,false
Applied Physics Lab (P-1),Mo,08:00,true
Applied Physics Lab (P-1),Tu,08:00,true
Applied Physics Lab (P-1),We,08:00,true
Applied Physics Lab (P-1),Th,08:00,true
Applied Physics Lab (P-1),Fr,08:00,true
Applied Physics Lab (P-1),Sa,08:00,false
Applied Physics Lab (P-1),Su,08:00,false
Applied Physics Lab (P-1),Mo,08:20,true
Applied Physics Lab (P-1),Tu,08:20,true
Applied Physics Lab (P-1),We,08:20,true
Applied Physics Lab (P-1),Th,08:20,true
Applied Physics Lab (P-1),Fr,08:20,true
Applied Physics Lab (P-1),Sa,08:20,false
Applied Physics Lab (P-1),Su,08:20,false
Applied Physics Lab (P-1),Mo,08:40,true
Applied Physics Lab (P-1),Tu,08:40,true
Applied Physics Lab (P-1),We,08:40,true
Applied Physics Lab (P-1),Th,08:40,true
Applied Physics Lab (P-1),Fr,08:40,true
Applied Physics Lab (P-1),Sa,08:40,false
Applied Physics Lab (P-1),Su,08:40,false
Applied Physics Lab (P-1),Mo,09:00,true
Applied Physics Lab (P-1),Tu,09:00,true
Applied Physics Lab (P-1),We,09:00,true
Applied Physics Lab (P-1),Th,09:00,true
Applied Physics Lab (P-1),Fr,09:00,true
Applied Physics Lab (P-1),Sa,09:00,false
